surname,name, #  Games , Avg.  Game  Length  (Moves) , Avg.  Moves  in  King's  Direction , Avg.  Moves  around  King  (<=3  squares  away) , Avg.  Piece  moves  past  half , Avg.  Pawn  moves  past  half , #  Pieces  by  EOG , #  Pawns  by  EOG , King  Moves 
 Hillarp  Persson,T ,8.0,37.875,15.875,15.25,9.0,4.25,0.0,0.0,3.625
 Reinsch,Svetoslav ,4.0,40.25,22.75,15.5,7.0,1.75,0.0,0.0,6.0
 Bernhardsson,S ,1.0,40.0,22.0,20.0,7.0,6.0,0.0,0.0,2.0
 Carlsson,Ludvig ,8.0,44.75,23.625,18.25,9.125,2.875,0.0,0.0,8.375
 Olsson,William ,8.0,47.5,24.625,20.125,10.625,3.5,0.0,0.0,4.375
 Alsaied  Ali,Firas ,3.0,42.666666666666664,23.0,20.0,2.6666666666666665,1.0,0.0,0.0,2.3333333333333335
 Israelsson,Lukas ,1.0,54.0,31.0,23.0,6.0,4.0,0.0,0.0,12.0
 Liu,Yi ,8.0,48.25,26.0,18.125,10.25,5.0,0.0,0.0,7.500000000000001
 Arman,D ,8.0,42.25,22.625,18.375,12.0,2.75,0.0,0.0,4.375
 Leon,David ,2.0,45.0,25.0,19.0,5.0,3.0,0.0,0.0,8.0
 Maarouf,Nazar ,1.0,24.0,6.0,12.0,9.0,1.0,0.0,0.0,1.0
 Akesson,R ,8.0,42.625,23.625,17.625,8.625,4.875,0.0,0.0,4.625
 Rydstrom,Tom ,8.0,38.875,23.0,15.750000000000002,7.0,3.125,0.0,0.0,4.875
 Rosell,S ,2.0,37.0,23.0,13.5,2.0,2.5,0.0,0.0,3.0
 Nilsson,Hakan  1974 ,1.0,33.0,14.0,13.0,8.0,2.0,0.0,0.0,1.0
 Wernberg,Hugo ,8.0,47.0,28.875,20.0,8.0,3.125,0.0,0.0,7.5
 Lindberg,Be ,8.0,39.125,20.375,16.0,8.375,3.25,0.0,0.0,2.25
 Johansson,Roland  1961 ,2.0,31.5,20.5,14.5,2.0,2.0,0.0,0.0,3.5
 Danelius,Fredrik ,1.0,37.0,13.0,13.0,10.0,7.0,0.0,0.0,2.0
 Vernersson,P ,8.0,49.125,22.375,19.75,13.125,2.5,0.0,0.0,5.25
 Rasti,Arvin ,8.0,44.75,21.0,17.75,12.375,3.375,0.0,0.0,5.0
 Ma,Hiram ,1.0,48.0,34.0,17.0,6.0,4.0,0.0,0.0,12.0
 Zandler  Andersson,Nils ,1.0,48.0,24.0,16.0,14.0,1.0,0.0,0.0,8.0
 Nilsson,Oliver ,7.0,42.857142857142854,21.0,14.428571428571429,10.285714285714286,3.857142857142857,0.0,0.0,5.714285714285714
 Logdahl,H ,8.0,53.125,31.875,19.375,12.875,4.5,0.0,0.0,9.5
 Eriksson,Mag3 ,3.0,54.0,32.0,18.666666666666668,8.666666666666666,3.3333333333333335,0.0,0.0,9.666666666666666
 Matamoros,Desmond  Ekman ,1.0,26.0,4.0,12.0,4.0,2.0,0.0,0.0,2.0
 Mashhadi,Peyman ,8.0,44.875,18.375,15.875,10.375,4.125,0.0,0.0,4.5
 Lindahl,E ,8.0,36.125,17.0,14.625,5.75,2.875,0.0,0.0,2.25
 Ek,Lucas ,3.0,47.333333333333336,28.0,18.333333333333332,11.0,0.6666666666666666,0.0,0.0,5.666666666666667
 Andersson,Elsa ,1.0,30.0,18.0,12.0,7.0,1.0,0.0,0.0,7.0
 Dingertz,Erik ,8.0,45.0,22.875,17.625,11.5,4.75,0.0,0.0,6.5
 Eklund,J ,8.0,41.625,20.375,17.375,7.375,3.75,0.0,0.0,4.125
 Garner,Marten ,1.0,30.0,8.0,13.0,5.0,0.0,0.0,0.0,3.0
 Martinelle,Christoffer ,1.0,79.0,45.0,29.0,13.0,5.0,0.0,0.0,12.0
 Joensson,Jacob ,8.0,49.25,27.5,18.5,14.375,3.125,0.0,0.0,7.0
 Sevastianov,Andrii ,4.0,42.25,20.5,17.5,12.0,3.75,0.0,0.0,5.0
 Ozbek,Gorkem ,3.0,48.333333333333336,28.0,17.666666666666668,11.0,2.6666666666666665,0.0,0.0,6.0
 Ivenholt,Niklas ,3.0,35.666666666666664,14.333333333333334,13.333333333333334,5.666666666666667,4.0,0.0,0.0,2.6666666666666665
 Schriever-Abeln,Marius ,8.0,33.5,15.0,13.125,6.25,3.375,0.0,0.0,2.625
 Johansson,William  2007 ,8.0,50.5,29.125,20.25,8.125,2.75,0.0,0.0,6.125
 Persson,Linus ,1.0,57.0,37.0,28.0,6.0,5.0,0.0,0.0,6.0
 Andersson,Stig ,1.0,26.0,13.0,13.0,4.0,1.0,0.0,0.0,2.0
 Nilsson,Bengt ,7.0,26.428571428571427,12.285714285714286,10.857142857142858,4.0,1.8571428571428572,0.0,0.0,3.2857142857142856
 Valcu,Lavinia ,6.0,42.5,22.166666666666668,15.5,5.833333333333333,3.8333333333333335,0.0,0.0,8.666666666666666
 Tuomisto,K ,1.0,54.0,26.0,26.0,12.0,3.0,0.0,0.0,3.0
 Malina,Alexander ,1.0,36.0,22.0,15.0,3.0,2.0,0.0,0.0,8.0
 Tornberg,Carlos ,7.0,33.0,13.428571428571429,13.285714285714286,8.857142857142858,2.5714285714285716,0.0,0.0,2.142857142857143
 Fransson,Pa ,7.0,49.142857142857146,24.857142857142858,18.857142857142858,14.714285714285714,4.571428571428571,0.0,0.0,7.0
 Balaji,Vijay ,1.0,45.0,22.0,19.0,4.0,3.0,0.0,0.0,3.0
 Johansson,Sigge ,1.0,61.0,35.0,19.0,14.0,1.0,0.0,0.0,9.0
 Ljung,Harald ,8.0,47.75,23.75,18.625,14.5,2.75,0.0,0.0,5.75
 Joensson,Oscar ,7.0,41.42857142857143,20.571428571428573,16.0,10.285714285714286,3.857142857142857,0.0,0.0,4.857142857142857
