 Aravindh,Chithambaram  VR. ,6.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Erigaisi,Arjun ,6.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Fedoseev,Vl3 ,6.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Gukesh,D ,6.0,52.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Niemann,Hans  Moke ,6.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Van  Foreest,Jorden ,6.0,39.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Keymer,Vincent ,6.0,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Sindarov,Javokhir ,6.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Abdusattorov,Nodirbek ,6.0,45.833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Giri,A ,6.0,39.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Erdogmus,Yagiz  Kaan ,6.0,39.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Praggnanandhaa,R ,6.0,50.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Bluebaum,M ,6.0,40.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Nguyen,Thai  Dai  Van ,6.0,61.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Yip,Carissa ,6.0,57.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Suleymanli,Aydin ,6.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Oro,Faustino ,6.0,46.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Woodward,Andy ,6.0,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Ivic,Velimir ,6.0,61.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Roebers,Eline ,6.0,53.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Ivanchuk,V ,6.0,50.833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Warmerdam,Max ,6.0,71.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Yuffa,D ,6.0,59.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Panesar,Vedant ,6.0,76.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 L'Ami,E ,6.0,43.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Assaubayeva,Bibisara ,6.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Maurizzi,MarcAndria ,6.0,38.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Lu,Miaoyi ,6.0,49.833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Hrbek,Stepan ,3.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Van  Foreest,Machteld ,4.0,40.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Lohia,Sohum ,3.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Gloeckler,Christian ,3.0,66.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Tudor,Henry  Edward ,3.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Elgersma,Onno ,3.0,39.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Beukema,S ,3.0,41.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Baselmans,Luuk ,3.0,46.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Carow,J ,3.0,27.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Grutter,Tim ,4.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
